Phone_Name,Phone_Price
"Samsung Galaxy Note 20 (Mystic Blue, 256 GB)","₹77,999"
"Samsung Galaxy M01s (Grey, 32 GB)","₹10,998"
"Samsung Galaxy M01s  (Light Blue, 32 GB)","₹10,990"
"Samsung M01 core (Red, 32 GB)","₹7,198"
"Samsung M01 core (Red, 16 GB)","₹6,184"
"Samsung Galaxy Note 20 (Mystic Bronze, 256 GB)","₹77,999"
"Samsung Galaxy Note 20 Ultra 5G (Mystic Bronze, 256 GB)","₹1,04,999"
"Samsung Galaxy Note 20 Ultra 5G (Mystic Black, 256 GB)","₹1,04,999"
"Samsung Galaxy Note 20 (Mystic Green, 256 GB)","₹77,999"
"Samsung M01 core (Blue, 32 GB)","₹7,119"
"Samsung M01 core (Blue, 16 GB)","₹6,161"
"Samsung M01 core (Black, 32 GB)","₹7,118"
"Samsung M01 core (Black, 16 GB)","₹6,156"
"Samsung Galaxy A71 (Haze Crush Silver, 128 GB)","₹30,999"
"Samsung Galaxy M30S (Black, 128 GB)","₹17,578"
"Samsung Galaxy M21 (Midnight Blue, 128 GB)","₹17,894"
"Samsung Galaxy M21 (Raven Black, 128 GB)","₹17,948"
"Samsung Galaxy A21s (Blue, 64 GB)","₹15,999"
"Samsung Galaxy A21s (Black, 64 GB)","₹15,999"
"Samsung Galaxy A21s (White, 64 GB)","₹17,499"
"Samsung Galaxy A21s (Black, 64 GB)","₹17,499"
"Samsung Galaxy A21s (White, 64 GB)","₹15,999"
"Samsung Galaxy A21s (Blue, 64 GB)","₹17,499"
"Samsung Galaxy M21 (Midnight Blue, 64 GB)","₹15,910"
"Samsung Galaxy M21 (Raven Black, 64 GB)","₹15,550"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","₹25,999"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹25,999"
"Samsung Galaxy M01 (Black, 32 GB)","₹8,929"
"Samsung Galaxy A51 (Prism Crush White, 128 GB)","₹25,999"
"Samsung Galaxy M01 (Blue, 32 GB)","₹8,929"
"Samsung Galaxy M01 (Red, 32 GB)","₹9,244"
"Samsung Galaxy M11 (Violet, 32 GB)","₹11,359"
"Samsung Galaxy M11 (Black, 64 GB)","₹13,745"
"Samsung Galaxy M11 (Metallic Blue, 64 GB)","₹14,299"
"Samsung Galaxy M11 (Metallic Blue, 32 GB)","₹11,411"
"Samsung Galaxy M11 (Black, 32 GB)","₹11,578"
"Samsung Galaxy A31 (Prism Crush White, 128 GB)","₹20,999"
"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)","₹20,999"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)","₹20,999"
"Samsung Galaxy M11 (Violet, 64 GB)","₹13,935"
"Samsung Galaxy J2 Core (Gold, 16 GB)","₹6,749"
"Samsung Galaxy J2 Core (Black, 16 GB)","₹6,999"
"Samsung Galaxy J2 Core (Blue, 16 GB)","₹6,749"
"Samsung Galaxy M31 (Ocean Blue, 64 GB)","₹18,746"
"Samsung Galaxy M31 (Ocean Blue, 128 GB)","₹19,328"
"Samsung Galaxy M31 (Space Black, 128 GB)","₹19,301"
"Samsung Galaxy M31 (Space Black, 64 GB)","₹18,612"
"Samsung Galaxy S10 Lite (Prism Black, 512 GB)","₹47,999"
"Samsung Galaxy A71 (Prism Crush Black, 128 GB)","₹30,999"
"Samsung Galaxy A71 (Prism Crush Silver, 128 GB)","₹32,999"
"Samsung Galaxy A71 (Prism Crush Blue, 128 GB)","₹33,990"
"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)","₹97,999"
"Samsung Galaxy S20+ (Cosmic Gray, 128 GB)","₹77,999"
"Samsung Galaxy S20 Ultra (Cosmic Black, 128 GB)","₹97,999"
"Samsung Galaxy S20 (Cosmic Gray, 128 GB)","₹70,499"
"Samsung Galaxy S20+ (Cosmic Black, 128 GB)","₹77,999"
"Samsung Galaxy S20 (Cloud Pink, 128 GB)","₹75,999"
"Samsung Galaxy S20 (Cloud Blue, 128 GB)","₹70,499"
"Samsung Galaxy S20+ (Cloud Blue, 128 GB)","₹77,999"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","₹23,999"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","₹23,999"
"Samsung Galaxy Note10 Lite (Aura Glow, 128 GB)","₹37,999"
"Samsung Galaxy Note10 Lite (Aura Glow, 128 GB)","₹39,999"
"Samsung Galaxy Note10 Lite (Aura Black, 128 GB)","₹39,999"
"Samsung Galaxy Note10 Lite (Aura Black, 128 GB)","₹37,999"
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)","₹42,999"
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)","₹42,999"
"Samsung Galaxy A20s (Black, 64 GB)","₹14,900"
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)","₹23,975"
"Samsung Galaxy A20s (Blue, 32 GB)","₹12,900"
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)","₹27,999"
"Samsung Galaxy A70s (Prism Crush White, 128 GB)","₹23,990"
"Samsung Galaxy A70s (Prism Crush Black, 128 GB)","₹26,990"
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)","₹26,990"
"Samsung Galaxy A70s (Prism Crush White, 128 GB)","₹26,789"
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","₹22,998"
"Samsung Galaxy A50s (Prism Crush Black, 128 GB)","₹22,999"
"Samsung Galaxy A10s (Black, 32 GB)","₹10,895"
"Samsung Galaxy A10s (Blue, 32 GB)","₹10,995"
"Samsung Galaxy Note 10 (Aura Black, 256 GB)","₹75,000"
"Samsung Galaxy Note 10 (Aura Glow, 256 GB)","₹75,000"
"Samsung Galaxy M40 (Seawater Blue, 128 GB)","₹21,490"
"Samsung Galaxy Note 10 Plus (Aura Glow, 256 GB)","₹85,000"
"Samsung Galaxy M40 (Midnight Blue, 128 GB)","₹16,834"
"Samsung Galaxy A80 (Angel Gold, 128 GB)","₹52,249"
"Samsung Galaxy A80 (Ghost White, 128 GB)","₹34,999"
